"geocode","name_muni","biome","altitude","koppen"
1100940,"CUJUBIM","amazonia",128.98,"Am"
1101005,"GOVERNADOR JORGE TEIXEIRA","amazonia",279.41,"Am"
1101104,"ITAPU« DO OESTE","amazonia",115.7,"Am"
1101203,"MINISTRO ANDREAZZA","amazonia",304.56,"Am"
1101302,"MIRANTE DA SERRA","amazonia",271.69,"Am"
1101401,"MONTE NEGRO","amazonia",201.29,"Am"
1101435,"NOVA UNI«O","amazonia",276.91,"Am"
1101450,"PARECIS","amazonia",329.49,"Am"
1101468,"PIMENTEIRAS DO OESTE","amazonia",186.31,"Am"
1101476,"PRIMAVERA DE ROND‚NIA","amazonia",233.73,"Am"
1101484,"S«O FELIPE D'OESTE","amazonia",251.28,"Am"
1101492,"S«O FRANCISCO DO GUAPORê","amazonia",173.21,"Am"
1101500,"SERINGUEIRAS","amazonia",211.42,"Am"
1101559,"TEIXEIR‡POLIS","amazonia",219.42,"Am"
1101609,"THEOBROMA","amazonia",178.32,"Am"
1101708,"URUPµ","amazonia",223.46,"Am"
1101757,"VALE DO ANARI","amazonia",159.34,"Am"
1101807,"VALE DO PARA÷SO","amazonia",182.73,"Am"
1200013,"ACREL∂NDIA","amazonia",165.47,"Am"
1200054,"ASSIS BRASIL","amazonia",305.21,"Af"
1200104,"BRASILêIA","amazonia",273.61,"Af"
1200138,"BUJARI","amazonia",189.97,"Am"
1200179,"CAPIXABA","amazonia",197.4,"Am"
1200203,"CRUZEIRO DO SUL","amazonia",226.06,"Af"
1200252,"EPITACIOL∂NDIA","amazonia",243.8,"Am"
1200302,"FEIJ‡","amazonia",251.14,"Af"
1200328,"JORD«O","amazonia",330.41,"Af"
1200336,"M∂NCIO LIMA","amazonia",257.6,"Af"
1200344,"MANOEL URBANO","amazonia",233.58,"Af"
1200351,"MARECHAL THAUMATURGO","amazonia",282.43,"Af"
1200385,"PLµCIDO DE CASTRO","amazonia",179.76,"Am"
1200393,"PORTO WALTER","amazonia",244.35,"Af"
1200401,"RIO BRANCO","amazonia",209.03,"Am"
1200427,"RODRIGUES ALVES","amazonia",250.56,"Af"
1200435,"SANTA ROSA DO PURUS","amazonia",251.66,"Af"
1200450,"SENADOR GUIOMARD","amazonia",177.03,"Am"
1200500,"SENA MADUREIRA","amazonia",231.54,"Am"
1200609,"TARAUACµ","amazonia",252.67,"Af"
1200708,"XAPURI","amazonia",227.59,"Am"
1200807,"PORTO ACRE","amazonia",172.78,"Am"
1300029,"ALVAR«ES","amazonia",78.54,"Af"
1300060,"AMATURµ","amazonia",83.74,"Af"
1300086,"ANAM«","amazonia",40.78,"Af"
1300102,"ANORI","amazonia",35.18,"Af"
1300144,"APU÷","amazonia",154.7,"Am"
1300201,"ATALAIA DO NORTE","amazonia",157.3,"Af"
1300300,"AUTAZES","amazonia",30.93,"Af"
1300409,"BARCELOS","amazonia",91.99,"Af"
1300508,"BARREIRINHA","amazonia",35.36,"Af"
1300607,"BENJAMIN CONSTANT","amazonia",139.73,"Af"
1300631,"BERURI","amazonia",47.19,"Af"
1300680,"BOA VISTA DO RAMOS","amazonia",27.15,"Af"
1300706,"BOCA DO ACRE","amazonia",170.74,"Am"
1300805,"BORBA","amazonia",60.79,"Af"
1300839,"CAAPIRANGA","amazonia",47.75,"Af"
1300904,"CANUTAMA","amazonia",83.37,"Am"
1301001,"CARAUARI","amazonia",108.75,"Af"
1301100,"CAREIRO","amazonia",34.96,"Af"
1301159,"CAREIRO DA VµRZEA","amazonia",22.84,"Af"
1301209,"COARI","amazonia",67.58,"Af"
1301308,"CODAJµS","amazonia",48.4,"Af"
1301407,"EIRUNEPê","amazonia",176.14,"Af"
1301506,"ENVIRA","amazonia",183.76,"Af"
1301605,"FONTE BOA","amazonia",60.73,"Af"
1301654,"GUAJARµ","amazonia",211.38,"Af"
1301704,"HUMAITµ","amazonia",71.92,"Am"
1301803,"IPIXUNA","amazonia",191.5,"Af"
1301852,"IRANDUBA","amazonia",45.99,"Af"
1301902,"ITACOATIARA","amazonia",35.97,"Af"
1301951,"ITAMARATI","amazonia",138.89,"Af"
1302009,"ITAPIRANGA","amazonia",80.5,"Af"
1302108,"JAPURµ","amazonia",107.63,"Af"
1302207,"JURUµ","amazonia",78.1,"Af"
1302306,"JUTA÷","amazonia",123.74,"Af"
1302405,"LµBREA","amazonia",122.89,"Am"
1302504,"MANACAPURU","amazonia",33.69,"Af"
1302553,"MANAQUIRI","amazonia",35.23,"Af"
1302603,"MANAUS","amazonia",66.97,"Af"
1302702,"MANICORê","amazonia",71.65,"Am"
1302801,"MARA«","amazonia",51.36,"Af"
1302900,"MAUêS","amazonia",101.45,"Af"
1303007,"NHAMUNDµ","amazonia",104.95,"Af"
1303106,"NOVA OLINDA DO NORTE","amazonia",37.73,"Af"
1303205,"NOVO AIR«O","amazonia",57.76,"Af"
1303304,"NOVO ARIPUAN«","amazonia",87.97,"Am"
1303403,"PARINTINS","amazonia",25.22,"Af"
1303502,"PAUINI","amazonia",161.94,"Af"
1303536,"PRESIDENTE FIGUEIREDO","amazonia",98.07,"Af"
1303569,"RIO PRETO DA EVA","amazonia",92.65,"Af"
1303601,"SANTA ISABEL DO RIO NEGRO","amazonia",124.36,"Af"
1303700,"SANTO ANT‚NIO DO IÄµ","amazonia",94.86,"Af"
1303809,"S«O GABRIEL DA CACHOEIRA","amazonia",116.7,"Af"
1303908,"S«O PAULO DE OLIVENÄA","amazonia",126.81,"Af"
1303957,"S«O SEBASTI«O DO UATUM«","amazonia",94.09,"Af"
1304005,"SILVES","amazonia",60.65,"Af"
1304062,"TABATINGA","amazonia",97.02,"Af"
1304104,"TAPAUµ","amazonia",85.84,"Af"
1304203,"TEFê","amazonia",86.29,"Af"
1304237,"TONANTINS","amazonia",88.05,"Af"
1304260,"UARINI","amazonia",70.76,"Af"
1304302,"URUCARµ","amazonia",131.71,"Af"
1304401,"URUCURITUBA","amazonia",13,"Af"
1400027,"AMAJARI","amazonia",396.94,"Am"
1400050,"ALTO ALEGRE","amazonia",445.62,"Am"
1400100,"BOA VISTA","amazonia",87.63,"Am"
1400159,"BONFIM","amazonia",125.7,"Am"
1400175,"CANTµ","amazonia",146.81,"Am"
1400209,"CARACARA÷","amazonia",107.84,"Af"
1400233,"CAROEBE","amazonia",219.43,"Af"
1400282,"IRACEMA","amazonia",313.08,"Am"
1400308,"MUCAJA÷","amazonia",217.67,"Am"
1400407,"NORMANDIA","amazonia",179.46,"Am"
1400456,"PACARAIMA","amazonia",349.74,"Am"
1400472,"RORAIN‡POLIS","amazonia",64.26,"Af"
1400506,"S«O JO«O DA BALIZA","amazonia",147.2,"Af"
1400605,"S«O LUIZ","amazonia",121.64,"Af"
1400704,"UIRAMUT«","amazonia",759.87,"Am"
1500107,"ABAETETUBA","amazonia",13.29,"Af"
1500131,"ABEL FIGUEIREDO","amazonia",212.29,"Aw"
1500206,"ACARµ","amazonia",34.87,"Af"
1500305,"AFUµ","amazonia",11.92,"Am"
1500347,"µGUA AZUL DO NORTE","amazonia",313.6,"Am"
1500404,"ALENQUER","amazonia",316.49,"Am"
1500503,"ALMEIRIM","amazonia",271.02,"Am"
1500602,"ALTAMIRA","amazonia",266.33,"Am"
1500701,"ANAJµS","amazonia",19.92,"Am"
1500800,"ANANINDEUA","amazonia",15.77,"Af"
1500859,"ANAPU","amazonia",144.96,"Am"
1500909,"AUGUSTO CORR“A","amazonia",26.43,"Am"
1500958,"AURORA DO PARµ","amazonia",47.52,"Am"
1501006,"AVEIRO","amazonia",97.51,"Af"
1501105,"BAGRE","amazonia",30.93,"Af"
1501204,"BAI«O","amazonia",40.53,"Am"
1501253,"BANNACH","amazonia",420.97,"Am"
1501303,"BARCARENA","amazonia",13.55,"Af"
1501402,"BELêM","amazonia",8.21,"Am"
1501451,"BELTERRA","amazonia",129.83,"Am"
1501501,"BENEVIDES","amazonia",24.53,"Af"
1501576,"BOM JESUS DO TOCANTINS","amazonia",155.19,"Aw"
1501600,"BONITO","amazonia",53.59,"Am"
1501709,"BRAGANÄA","amazonia",39.13,"Am"
1501725,"BRASIL NOVO","amazonia",161.73,"Am"
1501758,"BREJO GRANDE DO ARAGUAIA","amazonia",170.68,"Aw"
1501782,"BREU BRANCO","amazonia",80.19,"Am"
1501808,"BREVES","amazonia",18.54,"Af"
1501907,"BUJARU","amazonia",30.73,"Af"
1501956,"CACHOEIRA DO PIRIµ","amazonia",53.36,"Am"
1502004,"CACHOEIRA DO ARARI","amazonia",5.62,"Am"
1502103,"CAMETµ","amazonia",14.32,"Af"
1502152,"CANA« DOS CARAJµS","amazonia",356.43,"Am"
1502202,"CAPANEMA","amazonia",33.62,"Am"
1502301,"CAPIT«O POÄO","amazonia",74.23,"Am"
1502400,"CASTANHAL","amazonia",38.74,"Am"
1502509,"CHAVES","amazonia",7.81,"Am"
1502608,"COLARES","amazonia",7.28,"Am"
1502707,"CONCEIÄ«O DO ARAGUAIA","amazonia",200.42,"Aw"
1502756,"CONC‡RDIA DO PARµ","amazonia",41.38,"Af"
1502764,"CUMARU DO NORTE","amazonia",356.77,"Am"
1502772,"CURION‡POLIS","amazonia",254.67,"Am"
1502806,"CURRALINHO","amazonia",18.13,"Af"
1502855,"CURUµ","amazonia",18.58,"Am"
1502905,"CURUÄµ","amazonia",20.54,"Am"
1502939,"DOM ELISEU","amazonia",202.8,"Aw"
1502954,"ELDORADO DO CARAJµS","amazonia",152.43,"Am"
1503002,"FARO","amazonia",130.55,"Af"
1503044,"FLORESTA DO ARAGUAIA","amazonia",188.68,"Aw"
1503077,"GARRAF«O DO NORTE","amazonia",81.84,"Am"
1503093,"GOIANêSIA DO PARµ","amazonia",109.41,"Am"
1503101,"GURUPµ","amazonia",18.85,"Am"
1503200,"IGARAPê-AÄU","amazonia",39.23,"Am"
1503309,"IGARAPê-MIRI","amazonia",14.75,"Af"
1503408,"INHANGAPI","amazonia",23.49,"Am"
1503457,"IPIXUNA DO PARµ","amazonia",68.67,"Am"
1503507,"IRITUIA","amazonia",38.35,"Am"
1503606,"ITAITUBA","amazonia",202.82,"Am"
1503705,"ITUPIRANGA","amazonia",158.83,"Am"
1503754,"JACAREACANGA","amazonia",218.46,"Am"
1503804,"JACUNDµ","amazonia",103.85,"Am"
1503903,"JURUTI","amazonia",62.04,"Am"
1504000,"LIMOEIRO DO AJURU","amazonia",10.74,"Af"
1504059,"M«E DO RIO","amazonia",48.24,"Am"
1504109,"MAGALH«ES BARATA","amazonia",24.3,"Am"
1504208,"MARABµ","amazonia",202.81,"Am"
1504307,"MARACAN«","amazonia",21.09,"Am"
1504406,"MARAPANIM","amazonia",22.97,"Am"
1504422,"MARITUBA","amazonia",18.74,"Af"
1504455,"MEDICIL∂NDIA","amazonia",166.02,"Am"
1504505,"MELGAÄO","amazonia",24.69,"Af"
1504604,"MOCAJUBA","amazonia",22.41,"Af"
1504703,"MOJU","amazonia",45.17,"Af"
1504802,"MONTE ALEGRE","amazonia",265.69,"Am"
1504901,"MUANµ","amazonia",10.98,"Af"
1504950,"NOVA ESPERANÄA DO PIRIµ","amazonia",97.34,"Am"
1504976,"NOVA IPIXUNA","amazonia",107.2,"Aw"
1505007,"NOVA TIMBOTEUA","amazonia",34.55,"Am"
1505031,"NOVO PROGRESSO","amazonia",337.02,"Am"
1505064,"NOVO REPARTIMENTO","amazonia",153.68,"Am"
1505106,"‡BIDOS","amazonia",259.62,"Am"
1505205,"OEIRAS DO PARµ","amazonia",23.84,"Af"
1505304,"ORIXIMINµ","amazonia",230.51,"Af"
1505403,"OURêM","amazonia",56.98,"Am"
1505437,"OURIL∂NDIA DO NORTE","amazonia",361.53,"Am"
1505486,"PACAJµ","amazonia",115.17,"Am"
1505494,"PALESTINA DO PARµ","amazonia",160.31,"Aw"
1505502,"PARAGOMINAS","amazonia",115.81,"Am"
1505536,"PARAUAPEBAS","amazonia",341.77,"Am"
1505551,"PAU D'ARCO","amazonia",265.31,"Am"
1505601,"PEIXE-BOI","amazonia",29.71,"Am"
1505635,"PIÄARRA","amazonia",178.97,"Aw"
1505650,"PLACAS","amazonia",201.28,"Af"
1505700,"PONTA DE PEDRAS","amazonia",7.28,"Am"
1505809,"PORTEL","amazonia",52.81,"Af"
1505908,"PORTO DE MOZ","amazonia",55.24,"Am"
1506005,"PRAINHA","amazonia",102.02,"Am"
1506104,"PRIMAVERA","amazonia",26.58,"Am"
1506112,"QUATIPURU","amazonia",13.1,"Am"
1506138,"REDENÄ«O","amazonia",251.51,"Am"
1506161,"RIO MARIA","amazonia",240.35,"Am"
1506187,"RONDON DO PARµ","amazonia",203.37,"Aw"
1506195,"RUR‡POLIS","amazonia",190.51,"Af"
1506203,"SALIN‡POLIS","amazonia",17.49,"Am"
1506302,"SALVATERRA","amazonia",6.57,"Am"
1506351,"SANTA BµRBARA DO PARµ","amazonia",23.31,"Am"
1506401,"SANTA CRUZ DO ARARI","amazonia",5.3,"Am"
1506500,"SANTA IZABEL DO PARµ","amazonia",29.02,"Am"
1506559,"SANTA LUZIA DO PARµ","amazonia",60.59,"Am"
1506583,"SANTA MARIA DAS BARREIRAS","amazonia",234.3,"Aw"
1506609,"SANTA MARIA DO PARµ","amazonia",42.37,"Am"
1506708,"SANTANA DO ARAGUAIA","amazonia",237.95,"Aw"
1506807,"SANTARêM","amazonia",80.83,"Am"
1506906,"SANTARêM NOVO","amazonia",28.97,"Am"
1507003,"SANTO ANT‚NIO DO TAUµ","amazonia",23.63,"Am"
1507102,"S«O CAETANO DE ODIVELAS","amazonia",14.93,"Am"
1507151,"S«O DOMINGOS DO ARAGUAIA","amazonia",160.61,"Aw"
1507201,"S«O DOMINGOS DO CAPIM","amazonia",39.37,"Am"
1507300,"S«O FêLIX DO XINGU","amazonia",287.95,"Am"
1507409,"S«O FRANCISCO DO PARµ","amazonia",41.54,"Am"
1507458,"S«O GERALDO DO ARAGUAIA","amazonia",189.49,"Aw"
1507466,"S«O JO«O DA PONTA","amazonia",25.45,"Am"
1507474,"S«O JO«O DE PIRABAS","amazonia",20.45,"Am"
1507508,"S«O JO«O DO ARAGUAIA","amazonia",125.93,"Aw"
1507607,"S«O MIGUEL DO GUAMµ","amazonia",30.52,"Am"
1507706,"S«O SEBASTI«O DA BOA VISTA","amazonia",17.55,"Af"
1507755,"SAPUCAIA","amazonia",202.2,"Am"
1507805,"SENADOR JOSê PORF÷RIO","amazonia",169.41,"Am"
1507904,"SOURE","amazonia",3.97,"Am"
1507953,"TAIL∂NDIA","amazonia",59.97,"Am"
1507961,"TERRA ALTA","amazonia",36.7,"Am"
1507979,"TERRA SANTA","amazonia",44.71,"Am"
1508001,"TOMê-AÄU","amazonia",54.38,"Af"
1508035,"TRACUATEUA","amazonia",25,"Am"
1508050,"TRAIR«O","amazonia",169.96,"Af"
1508084,"TUCUM«","amazonia",244.83,"Am"
1508100,"TUCURU÷","amazonia",102.65,"Am"
1508126,"ULIAN‡POLIS","amazonia",154.7,"Aw"
1508159,"URUARµ","amazonia",198.48,"Af"
1508209,"VIGIA","amazonia",16.94,"Am"
1508308,"VISEU","amazonia",36.62,"Am"
1508357,"VIT‡RIA DO XINGU","amazonia",93.31,"Am"
1508407,"XINGUARA","amazonia",226.83,"Am"
1600055,"SERRA DO NAVIO","amazonia",175.51,"Am"
1600105,"AMAPµ","amazonia",32.98,"Am"
1600154,"PEDRA BRANCA DO AMAPARI","amazonia",197.59,"Am"
1600204,"CALÄOENE","amazonia",95.17,"Am"
1600212,"CUTIAS","amazonia",11.38,"Am"
1600238,"FERREIRA GOMES","amazonia",98.46,"Am"
1600253,"ITAUBAL","amazonia",11.97,"Am"
1600279,"LARANJAL DO JARI","amazonia",262.66,"Am"
1600303,"MACAPµ","amazonia",16.71,"Am"
1600402,"MAZAG«O","amazonia",113.18,"Am"
1600501,"OIAPOQUE","amazonia",103.18,"Am"
1600535,"PORTO GRANDE","amazonia",108.91,"Am"
1600550,"PRACUÈBA","amazonia",100.62,"Am"
1600600,"SANTANA","amazonia",24.21,"Am"
1600709,"TARTARUGALZINHO","amazonia",61.16,"Am"
1600808,"VIT‡RIA DO JARI","amazonia",42.23,"Am"
1700251,"ABREUL∂NDIA","cerrado",226.69,"Aw"
1700301,"AGUIARN‡POLIS","cerrado",218.41,"Aw"
1700350,"ALIANÄA DO TOCANTINS","cerrado",274.66,"Aw"
1700400,"ALMAS","cerrado",462.3,"Aw"
1700707,"ALVORADA","cerrado",269.73,"Aw"
1701002,"ANANµS","amazonia",175.77,"Aw"
1701051,"ANGICO","cerrado",296.39,"Aw"
1701101,"APARECIDA DO RIO NEGRO","cerrado",379.23,"Aw"
1701309,"ARAGOMINAS","amazonia",220.28,"Aw"
1701903,"ARAGUACEMA","cerrado",194.6,"Aw"
1702000,"ARAGUAÄU","cerrado",268.85,"Aw"
1702109,"ARAGUA÷NA","amazonia",239.27,"Aw"
1702158,"ARAGUAN«","amazonia",194.39,"Aw"
1702208,"ARAGUATINS","cerrado",152.34,"Aw"
1702307,"ARAPOEMA","amazonia",190.96,"Aw"
1702406,"ARRAIAS","cerrado",484.43,"Aw"
1702554,"AUGUSTIN‡POLIS","amazonia",157.88,"Aw"
1702703,"AURORA DO TOCANTINS","cerrado",530.04,"Aw"
1702901,"AXIXµ DO TOCANTINS","cerrado",232.97,"Aw"
1703008,"BABAÄUL∂NDIA","cerrado",249.48,"Aw"
1703057,"BANDEIRANTES DO TOCANTINS","amazonia",283.55,"Aw"
1703073,"BARRA DO OURO","cerrado",204.13,"Aw"
1703107,"BARROL∂NDIA","cerrado",363.77,"Aw"
1703206,"BERNARDO SAY«O","amazonia",190.72,"Aw"
1703305,"BOM JESUS DO TOCANTINS","cerrado",260.91,"Aw"
1703602,"BRASIL∂NDIA DO TOCANTINS","cerrado",264.51,"Aw"
1703701,"BREJINHO DE NAZARê","cerrado",278.92,"Aw"
1703800,"BURITI DO TOCANTINS","amazonia",131.59,"Aw"
1703826,"CACHOEIRINHA","cerrado",244.52,"Aw"
1703842,"CAMPOS LINDOS","cerrado",369.34,"Aw"
1703867,"CARIRI DO TOCANTINS","cerrado",282.18,"Aw"
1703883,"CARMOL∂NDIA","amazonia",240.68,"Aw"
1703891,"CARRASCO BONITO","amazonia",128.18,"Aw"
1703909,"CASEARA","cerrado",188.26,"Aw"
1704105,"CENTENµRIO","cerrado",285.01,"Aw"
1704600,"CHAPADA DE AREIA","cerrado",252.08,"Aw"
1705102,"CHAPADA DA NATIVIDADE","cerrado",345.71,"Aw"
1705508,"COLINAS DO TOCANTINS","cerrado",303.17,"Aw"
1705557,"COMBINADO","cerrado",522.43,"Aw"
1705607,"CONCEIÄ«O DO TOCANTINS","cerrado",360.9,"Aw"
1706001,"COUTO MAGALH«ES","cerrado",193.45,"Aw"
1706100,"CRISTAL∂NDIA","cerrado",244.65,"Aw"
1706258,"CRIXµS DO TOCANTINS","cerrado",262.73,"Aw"
1706506,"DARCIN‡POLIS","cerrado",294,"Aw"
1707009,"DIAN‡POLIS","cerrado",531.04,"Aw"
1707108,"DIVIN‡POLIS DO TOCANTINS","cerrado",225.65,"Aw"
1707207,"DOIS IRM«OS DO TOCANTINS","cerrado",265.77,"Aw"
1707306,"DUERê","cerrado",243.55,"Aw"
1707405,"ESPERANTINA","amazonia",102.2,"Aw"
1707553,"FµTIMA","cerrado",314.61,"Aw"
1707652,"FIGUEIR‡POLIS","cerrado",261.12,"Aw"
1707702,"FILADêLFIA","cerrado",218.08,"Aw"
1708205,"FORMOSO DO ARAGUAIA","cerrado",205.39,"Aw"
1708254,"FORTALEZA DO TABOC«O","cerrado",310.86,"Aw"
1708304,"GOIANORTE","cerrado",248.31,"Aw"
1709005,"GOIATINS","cerrado",259.42,"Aw"
1709302,"GUARA÷","cerrado",303.46,"Aw"
1709500,"GURUPI","cerrado",284.27,"Aw"
1709807,"IPUEIRAS","cerrado",289,"Aw"
1710508,"ITACAJµ","cerrado",267.61,"Aw"
1710706,"ITAGUATINS","cerrado",210.73,"Aw"
1710904,"ITAPIRATINS","cerrado",224.13,"Aw"
1711100,"ITAPOR« DO TOCANTINS","amazonia",316.24,"Aw"
1711506,"JAÈ DO TOCANTINS","cerrado",383.14,"Aw"
1711803,"JUARINA","cerrado",184.98,"Aw"
1711902,"LAGOA DA CONFUS«O","cerrado",187.22,"Aw"
1711951,"LAGOA DO TOCANTINS","cerrado",328.52,"Aw"
1712009,"LAJEADO","cerrado",418.91,"Aw"
1712157,"LAVANDEIRA","cerrado",559.72,"Aw"
1712405,"LIZARDA","cerrado",365.52,"Aw"
1712454,"LUZIN‡POLIS","cerrado",245.64,"Aw"
1712504,"MARIAN‡POLIS DO TOCANTINS","cerrado",196.82,"Aw"
1712702,"MATEIROS","cerrado",582.57,"Aw"
1712801,"MAURIL∂NDIA DO TOCANTINS","cerrado",203.83,"Aw"
1713205,"MIRACEMA DO TOCANTINS","cerrado",276.6,"Aw"
1713304,"MIRANORTE","cerrado",335.58,"Aw"
1713601,"MONTE DO CARMO","cerrado",403.97,"Aw"
1713700,"MONTE SANTO DO TOCANTINS","cerrado",285.04,"Aw"
1713809,"PALMEIRAS DO TOCANTINS","cerrado",248.77,"Aw"
1713957,"MURICIL∂NDIA","amazonia",190.7,"Aw"
1714203,"NATIVIDADE","cerrado",382.58,"Aw"
1714302,"NAZARê","cerrado",265.28,"Aw"
1714880,"NOVA OLINDA","cerrado",268.42,"Aw"
1715002,"NOVA ROSAL∂NDIA","cerrado",312.87,"Aw"
1715101,"NOVO ACORDO","cerrado",312.26,"Aw"
1715150,"NOVO ALEGRE","cerrado",584.14,"Aw"
1715259,"NOVO JARDIM","cerrado",626.48,"Aw"
1715507,"OLIVEIRA DE FµTIMA","cerrado",310.81,"Aw"
1715705,"PALMEIRANTE","cerrado",219.72,"Aw"
1715754,"PALMEIR‡POLIS","cerrado",456.07,"Aw"
1716109,"PARA÷SO DO TOCANTINS","cerrado",333.33,"Aw"
1716208,"PARAN«","cerrado",404.86,"Aw"
1716307,"PAU D'ARCO","amazonia",212.13,"Aw"
1716505,"PEDRO AFONSO","cerrado",262.09,"Aw"
1716604,"PEIXE","cerrado",271.04,"Aw"
1716653,"PEQUIZEIRO","amazonia",224.26,"Aw"
1716703,"COLMêIA","amazonia",330.97,"Aw"
1717008,"PINDORAMA DO TOCANTINS","cerrado",480.34,"Aw"
1717206,"PIRAQU“","amazonia",198.93,"Aw"
1717503,"PIUM","cerrado",192.32,"Aw"
1717800,"PONTE ALTA DO BOM JESUS","cerrado",504.72,"Aw"
1717909,"PONTE ALTA DO TOCANTINS","cerrado",394.14,"Aw"
1718006,"PORTO ALEGRE DO TOCANTINS","cerrado",451.95,"Aw"
1718204,"PORTO NACIONAL","cerrado",302.54,"Aw"
1718303,"PRAIA NORTE","cerrado",154.36,"Aw"
1718402,"PRESIDENTE KENNEDY","cerrado",283.02,"Aw"
1718451,"PUGMIL","cerrado",297.08,"Aw"
1718501,"RECURSOL∂NDIA","cerrado",346.23,"Aw"
1718550,"RIACHINHO","amazonia",174.21,"Aw"
1718659,"RIO DA CONCEIÄ«O","cerrado",630.69,"Aw"
1718709,"RIO DOS BOIS","cerrado",242.71,"Aw"
1718758,"RIO SONO","cerrado",289.6,"Aw"
1718808,"SAMPAIO","amazonia",122.27,"Aw"
1718840,"SANDOL∂NDIA","cerrado",238.78,"Aw"
1718865,"SANTA Fê DO ARAGUAIA","amazonia",194.68,"Aw"
1718881,"SANTA MARIA DO TOCANTINS","cerrado",260.37,"Aw"
1718899,"SANTA RITA DO TOCANTINS","cerrado",242.41,"Aw"
1718907,"SANTA ROSA DO TOCANTINS","cerrado",287.71,"Aw"
1719004,"SANTA TEREZA DO TOCANTINS","cerrado",333.4,"Aw"
1720002,"SANTA TEREZINHA DO TOCANTINS","cerrado",304.25,"Aw"
1720101,"S«O BENTO DO TOCANTINS","cerrado",210.34,"Aw"
1720150,"S«O FêLIX DO TOCANTINS","cerrado",444.33,"Aw"
1720200,"S«O MIGUEL DO TOCANTINS","cerrado",161.65,"Aw"
1720259,"S«O SALVADOR DO TOCANTINS","cerrado",352.71,"Aw"
1720309,"S«O SEBASTI«O DO TOCANTINS","amazonia",114.67,"Aw"
1720499,"S«O VALêRIO","cerrado",320.48,"Aw"
1720655,"SILVAN‡POLIS","cerrado",338.5,"Aw"
1720804,"S÷TIO NOVO DO TOCANTINS","cerrado",207.49,"Aw"
1720853,"SUCUPIRA","cerrado",274.39,"Aw"
1720903,"TAGUATINGA","cerrado",478.35,"Aw"
1720937,"TAIPAS DO TOCANTINS","cerrado",393.17,"Aw"
1720978,"TALISM«","cerrado",281.96,"Aw"
1721000,"PALMAS","cerrado",409.91,"Aw"
1721109,"TOCANT÷NIA","cerrado",315.55,"Aw"
1721208,"TOCANTIN‡POLIS","cerrado",223.05,"Aw"
1721257,"TUPIRAMA","cerrado",229.54,"Aw"
1721307,"TUPIRATINS","cerrado",222.51,"Aw"
1722081,"WANDERL∂NDIA","cerrado",281.35,"Aw"
1722107,"XAMBIOµ","amazonia",207.92,"Aw"
2100055,"AÄAIL∂NDIA","amazonia",274.54,"Aw"
2100105,"AFONSO CUNHA","cerrado",104.7,"Aw"
2100154,"µGUA DOCE DO MARANH«O","cerrado",40.47,"As"
2100204,"ALC∂NTARA","amazonia",18.55,"As"
2100303,"ALDEIAS ALTAS","cerrado",104.05,"Aw"
2100402,"ALTAMIRA DO MARANH«O","amazonia",64.79,"Aw"
2100436,"ALTO ALEGRE DO MARANH«O","cerrado",54.78,"Aw"
2100477,"ALTO ALEGRE DO PINDARê","amazonia",94.55,"Aw"
2100501,"ALTO PARNA÷BA","cerrado",469.63,"Aw"
