geocode;UF;name_muni;hierarquia
2910800;BA;Feira de Santana;Capital Regional B
4204608;SC;Arranjo Populacional de Criciúma/SC;Capital Regional B
4104808;PR;Arranjo Populacional de Cascavel/PR;Capital Regional B
4204202;SC;Arranjo Populacional de Chapecó/SC;Capital Regional B
3143302;MG;Montes Claros;Capital Regional B
4314100;RS;Passo Fundo;Capital Regional B
1721000;TO;Palmas;Capital Regional B
2307304;CE;Arranjo Populacional de Juazeiro do Norte/CE;Capital Regional B
2604106;PE;Caruaru;Capital Regional B
2933307;BA;Vitória da Conquista;Capital Regional B
2914802;BA;Itabuna;Capital Regional B
3525904;SP;Arranjo Populacional de Jundiaí/SP;Capital Regional C
3548500;SP;Arranjo Populacional da Baixada Santista/SP;Capital Regional C
3302403;RJ;Arranjo Populacional de Macaé - Rio das Ostras/RJ;Capital Regional C
3538709;SP;Arranjo Populacional de Piracicaba/SP;Capital Regional C
3301009;RJ;Arranjo Populacional de Campos dos Goytacazes/RJ;Capital Regional C
3501608;SP;Arranjo Populacional de Americana - Santa Bárbara d´Oeste/SP;Capital Regional C
3306305;RJ;Arranjo Populacional de Volta Redonda - Barra Mansa/RJ;Capital Regional C
3131307;MG;Arranjo Populacional de Ipatinga/MG;Capital Regional C
4119905;PR;Arranjo Populacional de Ponta Grossa/PR;Capital Regional C
4108304;PR;Arranjo Populacional Internacional de Foz do Iguaçu/Brasil - Ciudad del Este/Paraguai;Capital Regional C
3170107;MG;Uberaba;Capital Regional C
5201108;GO;Anápolis;Capital Regional C
3303906;RJ;Arranjo Populacional de Petrópolis/RJ;Capital Regional C
3526902;SP;Arranjo Populacional de Limeira/SP;Capital Regional C
3300704;RJ;Arranjo Populacional de Cabo Frio/RJ;Capital Regional C
3516200;SP;Arranjo Populacional de Franca/SP;Capital Regional C
1600303;AP;Arranjo Populacional de Macapá/AP;Capital Regional C
3503208;SP;Arranjo Populacional de Araraquara/SP;Capital Regional C
3548906;SP;Arranjo Populacional de São Carlos/SP;Capital Regional C
3541406;SP;Arranjo Populacional de Presidente Prudente/SP;Capital Regional C
5107602;MT;Rondonópolis;Capital Regional C
2504009;PB;Arranjo Populacional de Campina Grande/PB;Capital Regional C
2611101;PE;Arranjo Populacional de Petrolina/PE - Juazeiro/BA;Capital Regional C
4316808;RS;Arranjo Populacional de Santa Cruz do Sul/RS;Capital Regional C
4314407;RS;Arranjo Populacional de Pelotas/RS;Capital Regional C
1200401;AC;Rio Branco;Capital Regional C
1400100;RR;Boa Vista;Capital Regional C
5003702;MS;Dourados;Capital Regional C
2105302;MA;Arranjo Populacional de Imperatriz/MA;Capital Regional C
3529005;SP;Arranjo Populacional de Marília/SP;Capital Regional C
3167202;MG;Arranjo Populacional de Sete Lagoas/MG;Capital Regional C
1504208;PA;Marabá;Capital Regional C
3502804;SP;Araçatuba;Capital Regional C
4316907;RS;Arranjo Populacional de Santa Maria/RS;Capital Regional C
3152501;MG;Pouso Alegre;Capital Regional C
4311403;RS;Arranjo Populacional de Lajeado/RS;Capital Regional C
4202909;SC;Arranjo Populacional de Brusque/SC;Capital Regional C
3151800;MG;Poços de Caldas;Capital Regional C
3518404;SP;Arranjo Populacional de Guaratinguetá/SP;Capital Regional C
2408003;RN;Mossoró;Capital Regional C
3127701;MG;Governador Valadares;Capital Regional C
3122306;MG;Divinópolis;Capital Regional C
5107909;MT;Sinop;Capital Regional C
4218707;SC;Arranjo Populacional de Tubarão - Laguna/SC;Capital Regional C
3511102;SP;Arranjo Populacional de Catanduva/SP;Capital Regional C
3201209;ES;Cachoeiro de Itapemirim;Capital Regional C
4209300;SC;Lages;Capital Regional C
1506807;PA;Santarém;Capital Regional C
3170701;MG;Varginha;Capital Regional C
3505500;SP;Barretos;Capital Regional C
3525300;SP;Jaú;Capital Regional C
2312908;CE;Arranjo Populacional de Sobral/CE;Capital Regional C
2700300;AL;Arapiraca;Capital Regional C
2913606;BA;Ilhéus;Capital Regional C
1702109;TO;Araguaína;Capital Regional C
1502400;PA;Castanhal;Capital Regional C
2903201;BA;Barreiras;Capital Regional C
1100122;RO;Ji-Paraná;Capital Regional C
4203006;SC;Caçador;Capital Regional C
2910727;BA;Eunápolis;Capital Regional C
3168606;MG;Teófilo Otoni;Capital Regional C
2606002;PE;Garanhuns;Capital Regional C
4209003;SC;Arranjo Populacional de Joaçaba - Herval d´Oeste/SC;Capital Regional C
1100049;RO;Cacoal;Capital Regional C
3523909;SP;Arranjo Populacional de Itu - Salto/SP;Centro Sub-Regional A
3304201;RJ;Arranjo Populacional de Resende/RJ;Centro Sub-Regional A
1505536;PA;Parauapebas;Centro Sub-Regional A
3520509;SP;Indaiatuba;Centro Sub-Regional A
3543907;SP;Arranjo Populacional de Rio Claro/SP;Centro Sub-Regional A
4208906;SC;Arranjo Populacional de Jaraguá do Sul/SC;Centro Sub-Regional A
3530706;SP;Arranjo Populacional de Mogi Guaçu - Mogi Mirim/SP;Centro Sub-Regional A
4302105;RS;Arranjo Populacional de Bento Gonçalves/RS;Centro Sub-Regional A
5008305;MS;Três Lagoas;Centro Sub-Regional A
5218805;GO;Rio Verde;Centro Sub-Regional A
4118204;PR;Paranaguá;Centro Sub-Regional A
4315602;RS;Rio Grande;Centro Sub-Regional A
4127700;PR;Arranjo Populacional de Toledo/PR;Centro Sub-Regional A
3203205;ES;Linhares;Centro Sub-Regional A
4109401;PR;Guarapuava;Centro Sub-Regional A
5211503;GO;Arranjo Populacional de Itumbiara/GO;Centro Sub-Regional A
3551702;SP;Sertãozinho;Centro Sub-Regional A
3507605;SP;Bragança Paulista;Centro Sub-Regional A
3503307;SP;Araras;Centro Sub-Regional A
3507506;SP;Botucatu;Centro Sub-Regional A
3303401;RJ;Nova Friburgo;Centro Sub-Regional A
3522307;SP;Arranjo Populacional de Itapetininga/SP;Centro Sub-Regional A
4307005;RS;Erechim;Centro Sub-Regional A
3148004;MG;Patos de Minas;Centro Sub-Regional A
4101507;PR;Arapongas;Centro Sub-Regional A
4118501;PR;Arranjo Populacional de Pato Branco/PR;Centro Sub-Regional A
4301602;RS;Arranjo Populacional de Bagé/RS;Centro Sub-Regional A
4104303;PR;Campo Mourão;Centro Sub-Regional A
4306106;RS;Cruz Alta;Centro Sub-Regional A
4128104;PR;Arranjo Populacional de Umuarama/PR;Centro Sub-Regional A
3201506;ES;Colatina;Centro Sub-Regional A
2900702;BA;Alagoinhas;Centro Sub-Regional A
4310207;RS;Ijuí;Centro Sub-Regional A
5107958;MT;Tangará da Serra;Centro Sub-Regional A
4101408;PR;Apucarana;Centro Sub-Regional A
3549102;SP;Arranjo Populacional de São João da Boa Vista/SP;Centro Sub-Regional A
3534708;SP;Arranjo Populacional de Ourinhos/SP;Centro Sub-Regional A
3504008;SP;Assis;Centro Sub-Regional A
3169901;MG;Arranjo Populacional de Ubá/MG;Centro Sub-Regional A
4108403;PR;Francisco Beltrão;Centro Sub-Regional A
3105608;MG;Arranjo Populacional de Barbacena/MG;Centro Sub-Regional A
3138203;MG;Arranjo Populacional de Lavras/MG;Centro Sub-Regional A
4214805;SC;Arranjo Populacional de Rio do Sul/SC;Centro Sub-Regional A
4322400;RS;Uruguaiana;Centro Sub-Regional A
4304705;RS;Carazinho;Centro Sub-Regional A
4321600;RS;Arranjo Populacional de Tramandaí - Osório/RS;Centro Sub-Regional A
3302205;RJ;Itaperuna;Centro Sub-Regional A
4317202;RS;Santa Rosa;Centro Sub-Regional A
4317509;RS;Arranjo Populacional de Santo Ângelo/RS;Centro Sub-Regional A
2925303;BA;Porto Seguro;Centro Sub-Regional A
3527207;SP;Arranjo Populacional de Lorena/SP;Centro Sub-Regional A
4105508;PR;Cianorte;Centro Sub-Regional A
1500602;PA;Altamira;Centro Sub-Regional A
2918001;BA;Jequié;Centro Sub-Regional A
1100304;RO;Vilhena;Centro Sub-Regional A
3522406;SP;Itapeva;Centro Sub-Regional A
3147907;MG;Arranjo Populacional de Passos/MG;Centro Sub-Regional A
3101607;MG;Alfenas;Centro Sub-Regional A
4118402;PR;Arranjo Populacional de Paranavaí/PR;Centro Sub-Regional A
2924009;BA;Paulo Afonso;Centro Sub-Regional A
5213103;GO;Mineiros;Centro Sub-Regional A
2931350;BA;Teixeira de Freitas;Centro Sub-Regional A
1100023;RO;Ariquemes;Centro Sub-Regional A
4219309;SC;Videira;Centro Sub-Regional A
3515509;SP;Arranjo Populacional de Fernandópolis/SP;Centro Sub-Regional A
3162500;MG;Arranjo Populacional de São João del Rei/MG;Centro Sub-Regional A
2928703;BA;Santo Antônio de Jesus;Centro Sub-Regional A
3139409;MG;Manhuaçu;Centro Sub-Regional A
5101803;MT;Arranjo Populacional de Barra do Garças/MT;Centro Sub-Regional A
3143906;MG;Muriaé;Centro Sub-Regional A
1709500;TO;Gurupi;Centro Sub-Regional A
4128203;PR;Arranjo Populacional de União da Vitória/PR - Porto União/SC;Centro Sub-Regional A
3204906;ES;São Mateus;Centro Sub-Regional A
3300308;RJ;Barra do Piraí;Centro Sub-Regional A
2207702;PI;Parnaíba;Centro Sub-Regional A
4201406;SC;Arranjo Populacional de Araranguá/SC;Centro Sub-Regional A
2103000;MA;Caxias;Centro Sub-Regional A
3101508;MG;Arranjo Populacional de Além Paraíba/MG - Sapucaia/RJ;Centro Sub-Regional A
1506138;PA;Redenção;Centro Sub-Regional A
2802908;SE;Itabaiana;Centro Sub-Regional A
2510808;PB;Arranjo Populacional de Patos/PB;Centro Sub-Regional A
2208007;PI;Arranjo Populacional de Picos/PI;Centro Sub-Regional A
2305506;CE;Iguatu;Centro Sub-Regional A
4217204;SC;São Miguel do Oeste;Centro Sub-Regional A
2613909;PE;Serra Talhada;Centro Sub-Regional A
2203909;PI;Arranjo Populacional de Floriano/PI;Centro Sub-Regional A
2109908;MA;Santa Inês;Centro Sub-Regional A
2911709;BA;Guanambi;Centro Sub-Regional A
2101202;MA;Bacabal;Centro Sub-Regional A
3545605;SP;Arranjo Populacional de Santa Adélia - Palmares Paulista - Ariranha/SP;Centro Sub-Regional A
2503704;PB;Cajazeiras;Centro Sub-Regional A
2914604;BA;Irecê;Centro Sub-Regional A
3163706;MG;Arranjo Populacional de São Lourenço/MG;Centro Sub-Regional A
2601201;PE;Arcoverde;Centro Sub-Regional A
2930105;BA;Senhor do Bonfim;Centro Sub-Regional A
2609907;PE;Ouricuri;Centro Sub-Regional A
3510500;SP;Arranjo Populacional de Caraguatatuba - Ubatuba - São Sebastião/SP;Centro Sub-Regional B
4305355;RS;Arranjo Populacional de Charqueadas - Triunfo - São Jerônimo/RS;Centro Sub-Regional B
3300100;RJ;Angra dos Reis;Centro Sub-Regional B
3118304;MG;Arranjo Populacional de Conselheiro Lafaiete/MG;Centro Sub-Regional B
5205109;GO;Arranjo Populacional de Catalão/GO;Centro Sub-Regional B
3504107;SP;Arranjo Populacional de Atibaia/SP;Centro Sub-Regional B
3125101;MG;Extrema;Centro Sub-Regional B
5107925;MT;Sorriso;Centro Sub-Regional B
3104007;MG;Arranjo Populacional de Araxá/MG;Centro Sub-Regional B
3305802;RJ;Teresópolis;Centro Sub-Regional B
2606200;PE;Goiana;Centro Sub-Regional B
3523404;SP;Itatiba;Centro Sub-Regional B
1501303;PA;Barcarena;Centro Sub-Regional B
3306008;RJ;Arranjo Populacional de Três Rios - Paraíba do Sul/RJ;Centro Sub-Regional B
4321204;RS;Arranjo Populacional de Taquara - Parobé - Igrejinha/RS;Centro Sub-Regional B
3200607;ES;Aracruz;Centro Sub-Regional B
1508100;PA;Tucuruí;Centro Sub-Regional B
3550605;SP;Arranjo Populacional de São Roque - Mairinque/SP;Centro Sub-Regional B
3506508;SP;Arranjo Populacional de Birigui/SP;Centro Sub-Regional B
3527108;SP;Lins;Centro Sub-Regional B
5211909;GO;Jataí;Centro Sub-Regional B
2919553;BA;Luís Eduardo Magalhães;Centro Sub-Regional B
3103504;MG;Araguari;Centro Sub-Regional B
3529302;SP;Arranjo Populacional de Matão/SP;Centro Sub-Regional B
5105259;MT;Lucas do Rio Verde;Centro Sub-Regional B
3554003;SP;Tatuí;Centro Sub-Regional B
3557105;SP;Arranjo Populacional de Votuporanga/SP;Centro Sub-Regional B
4215802;SC;Arranjo Populacional de São Bento do Sul - Rio Negrinho/SC;Centro Sub-Regional B
3501905;SP;Arranjo Populacional de Amparo/SP;Centro Sub-Regional B
5107040;MT;Primavera do Leste;Centro Sub-Regional B
3131703;MG;Itabira;Centro Sub-Regional B
3511508;SP;Arranjo Populacional de Cerquilho - Tietê/SP;Centro Sub-Regional B
3522604;SP;Itapira;Centro Sub-Regional B
4127106;PR;Telêmaco Borba;Centro Sub-Regional B
3133808;MG;Arranjo Populacional de Itaúna/MG;Centro Sub-Regional B
2616407;PE;Vitória de Santo Antão;Centro Sub-Regional B
3506102;SP;Bebedouro;Centro Sub-Regional B
3147006;MG;Paracatu;Centro Sub-Regional B
3170404;MG;Unaí;Centro Sub-Regional B
3502101;SP;Andradina;Centro Sub-Regional B
3526704;SP;Arranjo Populacional de Leme/SP;Centro Sub-Regional B
4208302;SC;Arranjo Populacional de Itapema/SC;Centro Sub-Regional B
4312401;RS;Montenegro;Centro Sub-Regional B
5106224;MT;Nova Mutum;Centro Sub-Regional B
4204301;SC;Concórdia;Centro Sub-Regional B
4322608;RS;Arranjo Populacional de Venâncio Aires/RS;Centro Sub-Regional B
5003207;MS;Arranjo Populacional Internacional de Corumbá/Brasil;Centro Sub-Regional B
3146107;MG;Ouro Preto;Centro Sub-Regional B
3300209;RJ;Arranjo Populacional de Araruama/RJ;Centro Sub-Regional B
3134202;MG;Ituiutaba;Centro Sub-Regional B
3132404;MG;Arranjo Populacional de Itajubá/MG;Centro Sub-Regional B
4304408;RS;Arranjo Populacional de Canela - Gramado/RS;Centro Sub-Regional B
3524303;SP;Jaboticabal;Centro Sub-Regional B
1505502;PA;Paragominas;Centro Sub-Regional B
5006606;MS;Ponta Porã;Centro Sub-Regional B
3148103;MG;Patrocínio;Centro Sub-Regional B
4104907;PR;Castro;Centro Sub-Regional B
5204508;GO;Arranjo Populacional de Caldas Novas/GO;Centro Sub-Regional B
3504503;SP;Avaré;Centro Sub-Regional B
3147105;MG;Pará de Minas;Centro Sub-Regional B
3136207;MG;Arranjo Populacional de João Monlevade/MG;Centro Sub-Regional B
3539301;SP;Pirassununga;Centro Sub-Regional B
4210100;SC;Arranjo Populacional de Mafra/SC - Rio Negro/PR;Centro Sub-Regional B
4122404;PR;Rolândia;Centro Sub-Regional B
3526803;SP;Lençóis Paulista;Centro Sub-Regional B
2101400;MA;Balsas;Centro Sub-Regional B
4203808;SC;Arranjo Populacional de Canoinhas/SC;Centro Sub-Regional B
4303004;RS;Cachoeira do Sul;Centro Sub-Regional B
4317103;RS;Sant'Ana do Livramento;Centro Sub-Regional B
3169307;MG;Três Corações;Centro Sub-Regional B
5103502;MT;Diamantino;Centro Sub-Regional B
3555000;SP;Arranjo Populacional de Tupã/SP;Centro Sub-Regional B
4322509;RS;Vacaria;Centro Sub-Regional B
3145208;MG;Arranjo Populacional de Nova Serrana/MG;Centro Sub-Regional B
3151206;MG;Arranjo Populacional de Pirapora - Buritizeiro/MG;Centro Sub-Regional B
5208608;GO;Arranjo Populacional de Goianésia/GO;Centro Sub-Regional B
5208004;GO;Formosa;Centro Sub-Regional B
3513405;SP;Arranjo Populacional de Cruzeiro/SP;Centro Sub-Regional B
4114609;PR;Marechal Cândido Rondon;Centro Sub-Regional B
3202405;ES;Guarapari;Centro Sub-Regional B
1301902;AM;Itacoatiara;Centro Sub-Regional B
2100055;MA;Açailândia;Centro Sub-Regional B
3134400;MG;Iturama;Centro Sub-Regional B
4304630;RS;Arranjo Populacional de Capão da Canoa/RS;Centro Sub-Regional B
3546405;SP;Santa Cruz do Rio Pardo;Centro Sub-Regional B
3510401;SP;Arranjo Populacional de Capivari/SP;Centro Sub-Regional B
3533908;SP;Olímpia;Centro Sub-Regional B
4300406;RS;Alegrete;Centro Sub-Regional B
3128709;MG;Guaxupé;Centro Sub-Regional B
4207304;SC;Arranjo Populacional de Imbituba/SC;Centro Sub-Regional B
4303509;RS;Camaquã;Centro Sub-Regional B
5006200;MS;Nova Andradina;Centro Sub-Regional B
3542602;SP;Registro;Centro Sub-Regional B
4311809;RS;Marau;Centro Sub-Regional B
3500105;SP;Arranjo Populacional de Adamantina - Lucélia/SP;Centro Sub-Regional B
3540705;SP;Porto Ferreira;Centro Sub-Regional B
4318309;RS;Arranjo Populacional de São Gabriel/RS;Centro Sub-Regional B
5102504;MT;Cáceres;Centro Sub-Regional B
4218202;SC;Timbó;Centro Sub-Regional B
3549706;SP;São José do Rio Pardo;Centro Sub-Regional B
3537305;SP;Penápolis;Centro Sub-Regional B
4318002;RS;São Borja;Centro Sub-Regional B
4115804;PR;Medianeira;Centro Sub-Regional B
3159605;MG;Santa Rita do Sapucaí;Centro Sub-Regional B
3164704;MG;São Sebastião do Paraíso;Centro Sub-Regional B
3127107;MG;Frutal;Centro Sub-Regional B
1503606;PA;Itaituba;Centro Sub-Regional B
3534302;SP;Orlândia;Centro Sub-Regional B
5100250;MT;Alta Floresta;Centro Sub-Regional B
4110706;PR;Irati;Centro Sub-Regional B
3171303;MG;Arranjo Populacional de Viçosa/MG;Centro Sub-Regional B
2601706;PE;Belo Jardim;Centro Sub-Regional B
3304300;RJ;Rio Bonito;Centro Sub-Regional B
3304706;RJ;Arranjo Populacional de Santo Antônio de Pádua/RJ;Centro Sub-Regional B
3152105;MG;Arranjo Populacional de Ponte Nova/MG;Centro Sub-Regional B
4219507;SC;Xanxerê;Centro Sub-Regional B
3113404;MG;Caratinga;Centro Sub-Regional B
5005707;MS;Naviraí;Centro Sub-Regional B
1718204;TO;Porto Nacional;Centro Sub-Regional B
2802106;SE;Estância;Centro Sub-Regional B
3115300;MG;Cataguases;Centro Sub-Regional B
3126109;MG;Formiga;Centro Sub-Regional B
4107207;PR;Dois Vizinhos;Centro Sub-Regional B
3549409;SP;São Joaquim da Barra;Centro Sub-Regional B
3120904;MG;Arranjo Populacional de Curvelo/MG;Centro Sub-Regional B
4106407;PR;Cornélio Procópio;Centro Sub-Regional B
2932903;BA;Valença;Centro Sub-Regional B
3524808;SP;Arranjo Populacional de Jales/SP;Centro Sub-Regional B
2803500;SE;Lagarto;Centro Sub-Regional B
2904605;BA;Brumado;Centro Sub-Regional B
3553708;SP;Taquaritinga;Centro Sub-Regional B
3519600;SP;Ibitinga;Centro Sub-Regional B
4313706;RS;Palmeira das Missões;Centro Sub-Regional B
2306405;CE;Itapipoca;Centro Sub-Regional B
1100114;RO;Jaru;Centro Sub-Regional B
4322806;RS;Arranjo Populacional de Veranópolis/RS;Centro Sub-Regional B
2612505;PE;Santa Cruz do Capibaribe;Centro Sub-Regional B
5001102;MS;Arranjo Populacional de Aquidauana - Anastácio/MS;Centro Sub-Regional B
2604007;PE;Carpina;Centro Sub-Regional B
2917508;BA;Jacobina;Centro Sub-Regional B
1500107;PA;Abaetetuba;Centro Sub-Regional B
5213806;GO;Morrinhos;Centro Sub-Regional B
1302504;AM;Manacapuru;Centro Sub-Regional B
1716109;TO;Paraíso do Tocantins;Centro Sub-Regional B
4204806;SC;Curitibanos;Centro Sub-Regional B
2301109;CE;Aracati;Centro Sub-Regional B
1100288;RO;Rolim de Moura;Centro Sub-Regional B
5106752;MT;Pontes e Lacerda;Centro Sub-Regional B
4317400;RS;Santiago;Centro Sub-Regional B
5006309;MS;Paranaíba;Centro Sub-Regional B
4321501;RS;Arranjo Populacional de Torres/RS;Centro Sub-Regional B
1508407;PA;Xinguara;Centro Sub-Regional B
3107406;MG;Bom Despacho;Centro Sub-Regional B
4111803;PR;Jacarezinho;Centro Sub-Regional B
3135100;MG;Arranjo Populacional de Janaúba/MG;Centro Sub-Regional B
4311304;RS;Arranjo Populacional de Lagoa Vermelha/RS;Centro Sub-Regional B
4318903;RS;São Luiz Gonzaga;Centro Sub-Regional B
3514403;SP;Dracena;Centro Sub-Regional B
1200203;AC;Cruzeiro do Sul;Centro Sub-Regional B
2706703;AL;Arranjo Populacional de Penedo/AL;Centro Sub-Regional B
2402006;RN;Caicó;Centro Sub-Regional B
2516201;PB;Sousa;Centro Sub-Regional B
2313401;CE;Tianguá;Centro Sub-Regional B
3143104;MG;Monte Carmelo;Centro Sub-Regional B
3539509;SP;Pitangueiras;Centro Sub-Regional B
1303403;AM;Parintins;Centro Sub-Regional B
2103307;MA;Codó;Centro Sub-Regional B
2916401;BA;Itapetinga;Centro Sub-Regional B
4124103;PR;Santo Antônio da Platina;Centro Sub-Regional B
2309607;CE;Pacajus;Centro Sub-Regional B
1100189;RO;Pimenta Bueno;Centro Sub-Regional B
3510203;SP;Arranjo Populacional de Capão Bonito/SP;Centro Sub-Regional B
4308508;RS;Frederico Westphalen;Centro Sub-Regional B
1502202;PA;Capanema;Centro Sub-Regional B
5210000;GO;Inhumas;Centro Sub-Regional B
2506301;PB;Arranjo Populacional de Guarabira/PB;Centro Sub-Regional B
2311306;CE;Quixadá;Centro Sub-Regional B
3203908;ES;Nova Venécia;Centro Sub-Regional B
2909802;BA;Cruz das Almas;Centro Sub-Regional B
5105150;MT;Juína;Centro Sub-Regional B
4205506;SC;Fraiburgo;Centro Sub-Regional B
3111200;MG;Campo Belo;Centro Sub-Regional B
2708600;AL;São Miguel dos Campos;Centro Sub-Regional B
4321808;RS;Três de Maio;Centro Sub-Regional B
2307601;CE;Limoeiro do Norte;Centro Sub-Regional B
3523206;SP;Itararé;Centro Sub-Regional B
2311801;CE;Russas;Centro Sub-Regional B
5100201;MT;Água Boa;Centro Sub-Regional B
4108809;PR;Guaíra;Centro Sub-Regional B
2601102;PE;Arranjo Populacional de Araripina/PE;Centro Sub-Regional B
2915601;BA;Itamaraju;Centro Sub-Regional B
2903904;BA;Bom Jesus da Lapa;Centro Sub-Regional B
2930501;BA;Serrinha;Centro Sub-Regional B
2610004;PE;Palmares;Centro Sub-Regional B
5003306;MS;Coxim;Centro Sub-Regional B
4119608;PR;Pitanga;Centro Sub-Regional B
4217709;SC;Arranjo Populacional de Sombrio/SC;Centro Sub-Regional B
4320107;RS;Sarandi;Centro Sub-Regional B
2914703;BA;Itaberaba;Centro Sub-Regional B
2108603;MA;Pinheiro;Centro Sub-Regional B
2709301;AL;União dos Palmares;Centro Sub-Regional B
2612208;PE;Salgueiro;Centro Sub-Regional B
2400208;RN;Açu;Centro Sub-Regional B
3145604;MG;Oliveira;Centro Sub-Regional B
4309407;RS;Guaporé;Centro Sub-Regional B
1721208;TO;Arranjo Populacional de Tocantinópolis/TO - Porto Franco/MA;Centro Sub-Regional B
4306809;RS;Encantado;Centro Sub-Regional B
5005004;MS;Arranjo Populacional de Jardim/MS;Centro Sub-Regional B
4320800;RS;Soledade;Centro Sub-Regional B
5221601;GO;Uruaçu;Centro Sub-Regional B
4305207;RS;Arranjo Populacional de Cerro Largo/RS;Centro Sub-Regional B
1100106;RO;Guajará-Mirim;Centro Sub-Regional B
2908408;BA;Conceição do Coité;Centro Sub-Regional B
2706307;AL;Palmeira dos Índios;Centro Sub-Regional B
2605202;PE;Escada;Centro Sub-Regional B
3121605;MG;Diamantina;Centro Sub-Regional B
1100155;RO;Ouro Preto do Oeste;Centro Sub-Regional B
4111506;PR;Ivaiporã;Centro Sub-Regional B
2614501;PE;Surubim;Centro Sub-Regional B
4113304;PR;Laranjeiras do Sul;Centro Sub-Regional B
4321907;RS;Três Passos;Centro Sub-Regional B
5205406;GO;Arranjo Populacional de Ceres - Rialma/GO;Centro Sub-Regional B
2608909;PE;Limoeiro;Centro Sub-Regional B
1200104;AC;Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil;Centro Sub-Regional B
2108207;MA;Arranjo Populacional de Pedreiras/MA;Centro Sub-Regional B
2304103;CE;Crateús;Centro Sub-Regional B
4104501;PR;Capanema;Centro Sub-Regional B
2103208;MA;Chapadinha;Centro Sub-Regional B
2208403;PI;Piripiri;Centro Sub-Regional B
5211800;GO;Jaraguá;Centro Sub-Regional B
2403103;RN;Currais Novos;Centro Sub-Regional B
3135209;MG;Januária;Centro Sub-Regional B
2615300;PE;Timbaúba;Centro Sub-Regional B
2910701;BA;Euclides da Cunha;Centro Sub-Regional B
2302602;CE;Camocim;Centro Sub-Regional B
3128006;MG;Guanhães;Centro Sub-Regional B
4109708;PR;Ibaiti;Centro Sub-Regional B
3115508;MG;Arranjo Populacional de Caxambu - Baependi/MG;Centro Sub-Regional B
2306306;CE;Itapajé;Centro Sub-Regional B
2202208;PI;Campo Maior;Centro Sub-Regional B
2708006;AL;Santana do Ipanema;Centro Sub-Regional B
2109106;MA;Presidente Dutra;Centro Sub-Regional B
2804508;SE;Nossa Senhora da Glória;Centro Sub-Regional B
2201903;PI;Bom Jesus;Centro Sub-Regional B
2926608;BA;Ribeira do Pombal;Centro Sub-Regional B
3101706;MG;Almenara;Centro Sub-Regional B
2805703;SE;Arranjo Populacional de Propriá/SE;Centro Sub-Regional B
2702405;AL;Delmiro Gouveia;Centro Sub-Regional B
2409407;RN;Pau dos Ferros;Centro Sub-Regional B
2913903;BA;Ipiaú;Centro Sub-Regional B
1304062;AM;Tabatinga;Centro Sub-Regional B
2210607;PI;São Raimundo Nonato;Centro Sub-Regional B
